user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
264,0,2.0,0.0,0.0,0.0,0.0
265,1,11.0,7.0,6.0,0.0,5.0
266,0,23.0,53.0,55.0,13.0,21.0
267,0,27.0,10.0,16.0,15.0,8.0
268,0,44.0,79.0,89.0,20.0,21.0
269,0,20.0,18.0,19.0,9.0,10.0
270,-1,9.0,0.0,0.0,0.0,0.0
271,0,0.0,33.0,36.0,2.0,1.0
272,0,33.0,37.0,44.0,13.0,6.0
273,0,14.0,16.0,10.0,7.0,5.0
274,1,22.0,265.0,263.0,4.0,3.0
275,1,15.0,5.0,4.0,0.0,0.0
276,0,15.0,12.0,20.0,0.0,0.0
277,1,15.0,0.0,0.0,0.0,0.0
278,0,0.0,167.0,149.0,27.0,17.0
279,0,11.0,1448.0,1412.0,3.0,3.0
280,0,51.0,23.0,26.0,6.0,10.0
281,1,9.0,0.0,0.0,0.0,0.0
282,0,18.0,4.0,7.0,2.0,3.0
283,0,15.0,12.0,12.0,5.0,9.0
284,1,12.0,2.0,1.0,0.0,0.0
285,0,14.0,2.0,2.0,0.0,2.0
286,0,12.0,6.0,6.0,0.0,0.0
287,0,11.0,0.0,0.0,0.0,0.0
288,0,29.0,156.0,161.0,9.0,28.0
289,0,2.0,166.0,142.0,94.0,42.0
290,0,17.0,14.0,15.0,1.0,0.0
291,1,24.0,35.0,38.0,1.0,5.0
292,0,7.0,7.0,1.0,1.0,1.0
293,1,11.0,0.0,0.0,0.0,0.0
294,0,37.0,79.0,59.0,2.0,3.0
295,0,15.0,0.0,0.0,0.0,3.0
296,1,12.0,349.0,515.0,0.0,0.0
297,0,18.0,13.0,8.0,13.0,7.0
298,1,2.0,0.0,0.0,0.0,0.0
299,0,21.0,335.0,323.0,12.0,8.0
300,1,65.0,101.0,89.0,35.0,21.0
301,0,35.0,76.0,79.0,31.0,55.0
302,0,4.0,0.0,0.0,0.0,0.0
303,0,3.0,0.0,0.0,0.0,0.0
304,0,16.0,110.0,127.0,4.0,2.0
305,-1,8.0,0.0,0.0,0.0,0.0
306,0,33.0,6.0,5.0,0.0,2.0
307,0,7.0,0.0,0.0,0.0,0.0
308,1,20.0,57.0,42.0,5.0,5.0
309,0,7.0,0.0,0.0,0.0,0.0
310,0,11.0,21.0,23.0,3.0,6.0
311,1,22.0,14.0,14.0,2.0,1.0
312,-1,7.0,5.0,7.0,0.0,1.0
313,0,9.0,0.0,0.0,0.0,0.0
314,0,7.0,82.0,77.0,6.0,8.0
315,0,31.0,3.0,3.0,2.0,0.0
316,0,7.0,0.0,0.0,0.0,0.0
317,0,15.0,9.0,10.0,0.0,1.0
318,0,5.0,0.0,0.0,0.0,0.0
319,0,,,,,
320,1,11.0,0.0,0.0,0.0,0.0
321,1,0.0,24.0,18.0,7.0,2.0
322,-1,0.0,18.0,23.0,3.0,7.0
323,0,25.0,3.0,1.0,2.0,0.0
324,0,72.0,48.0,44.0,8.0,22.0
325,0,7.0,2.0,10.0,5.0,5.0
326,1,13.0,9.0,10.0,1.0,2.0
327,0,9.0,1.0,0.0,5.0,1.0
328,0,7.0,0.0,0.0,0.0,1.0
329,0,4.0,0.0,0.0,0.0,0.0
330,1,32.0,6.0,11.0,2.0,6.0
331,-1,15.0,77.0,86.0,20.0,5.0
332,0,6.0,5.0,4.0,0.0,0.0
333,0,21.0,2.0,5.0,1.0,3.0
334,0,15.0,20.0,21.0,1.0,3.0
335,1,9.0,178.0,192.0,16.0,24.0
336,0,21.0,1.0,3.0,0.0,0.0
337,0,5.0,16.0,15.0,7.0,9.0
338,1,12.0,0.0,0.0,0.0,0.0
339,0,19.0,24.0,25.0,4.0,6.0
340,0,3.0,48.0,56.0,0.0,3.0
341,0,12.0,10.0,8.0,8.0,3.0
342,1,51.0,35.0,34.0,6.0,10.0
343,0,8.0,0.0,0.0,1.0,6.0
344,0,24.0,20.0,24.0,3.0,15.0
345,0,14.0,1.0,2.0,1.0,0.0
346,0,17.0,0.0,0.0,1.0,0.0
347,0,8.0,0.0,0.0,0.0,0.0
348,0,18.0,3.0,7.0,0.0,3.0
